"","Year","Country","ActionWater","WaterType","Class_cane","Epidemic","YieldOldGrade","Type_Cane","GrooveWide","FertilizerType","TypeSoil","Fertilizer","TargetOldGrade","Yield","Area_Remain","ContractsArea","YieldGrade","FarmerContractGrade","TargetGrade","Rain_Avg"
"1",1974,"India","Water pour","Rain","2nd ratoon cane","Herbicide","Grade 3","LK92-11","150 cm","Organic","Silty clay","25-07-2007","Grade 1",80.63,76.92,91.9,"Grade 2","C","Grade 2",1054.79
"3",1976,"Bangladesh","Rain","Natural canal","1st ratoon cane","Herbicide","Grade 2","K84-200","120 cm","Chemical","Ferus soil","15-15-15","Grade 1",127.13,87.89,116,"Grade 1","B","Grade 3",2010
"4",1977,"India","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 1","K84-200","120 cm","Chemical","Ferus soil","15-15-15","Grade 3",122.06,37.17,409.28,"Grade 2","C","Grade 2",2738.91
"6",1979,"Nepal","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 3","LK92-11","140 cm","Organic","Loam","25-07-2007","Grade 3",73.26,14.74,369.25,"Grade 1","A","Grade 3",1874.38
"8",1981,"India","Rain","Groundwater","3rd ratoon cane","Herbicide","Grade 1","LK92-11","120 cm","Organic","Loam","15-15-15","Grade 2",129.22,98.33,330.2,"Grade 1","C","Grade 2",1995.8
"9",1982,"Pakistan","Water pour","Groundwater","2nd ratoon cane","Herbicide","Grade 1","LK92-11","130 cm","Organic","Loam","25-07-2007","Grade 3",86.77,12.55,267.03,"Grade 1","B","Grade 2",2988.52
"11",1984,"India","Rain","Rain","2nd ratoon cane","Herbicide","Grade 1","K99-72","120 cm","Organic","Loam","46-0-0","Grade 3",103.1,32.97,123.55,"Grade 2","C","Grade 2",652.53
"12",1985,"Pakistan","Rain","Natural canal","3rd ratoon cane","Herbicide","Grade 2","K84-200","150 cm","Chemical","Loam","16-16-16","Grade 2",61.26,23.86,165.81,"Grade 3","A","Grade 2",572.44
"13",1986,"Nepal","Rain","Rain","2nd ratoon cane","Herbicide","Grade 1","Khonkean3","150 cm","Organic","Silty clay","25-07-2007","Grade 3",106.12,47.21,314.26,"Grade 1","A","Grade 1",2606.94
"14",1987,"Sri Lanka","Rain","Rain","3rd ratoon cane","Preemergent","Grade 1","LK92-11","140 cm","Organic","Ferus soil","15-15-15","Grade 2",66.46,77.36,283.23,"Grade 2","C","Grade 3",1092.31
"15",1988,"Bangladesh","Rain","Groundwater","3rd ratoon cane","Preemergent","Grade 1","K99-72","150 cm","Organic","Loam","46-0-0","Grade 3",120.85,46.16,33.59,"Grade 1","A","Grade 3",1388.96
"18",1991,"Nepal","Water pour","Rain","1st ratoon cane","Preemergent","Grade 1","Khonkean3","130 cm","Organic","Ferus soil","15-15-15","Grade 3",96.48,90.21,36.88,"Grade 3","B","Grade 2",2841.44
"20",1993,"India","Water pour","Rain","1st ratoon cane","Preemergent","Grade 2","K99-72","130 cm","Chemical","Loam","46-0-0","Grade 2",96.7,27.16,43.98,"Grade 3","C","Grade 2",2062.24
"21",1994,"Sri Lanka","Rain","Rain","2nd ratoon cane","Preemergent","Grade 2","LK92-11","130 cm","Chemical","Loam","25-07-2007","Grade 1",93.2,62.55,375.41,"Grade 1","A","Grade 1",1672.2
"22",1995,"Nepal","Rain","Groundwater","3rd ratoon cane","Preemergent","Grade 1","K84-200","150 cm","Chemical","Loam","15-15-15","Grade 1",191.53,21.53,15.77,"Grade 1","A","Grade 3",587.04
