Country,ActionWater,WaterType,Class_cane,Epidemic,YieldOldGrade,Type_Cane,GrooveWide,FertilizerType,TypeSoil,Fertilizer,TargetOldGrade,Area_Remain,ContractsArea,YieldGrade,FarmerContractGrade,TargetGrade,Rain_Avg,Yield_Category,YearBin
Nepal,Rain,Rain,2nd ratoon cane,Preemergent,Grade 2,Khonkean3,150 cm,Chemical,Loam,25-7-7,Grade 1,5.71,359.39,Grade 3,B,Grade 2,1236.73,Low,1980s
Sri Lanka,Water pour,Natural canal,3rd ratoon cane,Herbicide,Grade 2,Khonkean3,150 cm,Chemical,Ferus soil,16-16-16,Grade 3,84.34,483.01,Grade 2,B,Grade 3,1642.96,High,1980s
Sri Lanka,Rain,Groundwater,2nd ratoon cane,Preemergent,Grade 1,LK92-11,150 cm,Organic,Loam,25-7-7,Grade 3,69.33,93.24,Grade 1,C,Grade 1,2546.46,Low,2010s
Pakistan,Rain,Natural canal,1st ratoon cane,Herbicide,Grade 1,Khonkean3,150 cm,Organic,Loam,15-15-15,Grade 1,21.21,32.57,Grade 3,C,Grade 2,1889.95,Low,2010s
India,Water pour,Rain,2nd ratoon cane,Preemergent,Grade 3,K99-72,150 cm,Chemical,Loam,16-16-16,Grade 2,54.57,361.29,Grade 1,A,Grade 3,1952.9,High,2020s
Nepal,Rain,Natural canal,1st ratoon cane,Herbicide,Grade 1,LK92-11,140 cm,Chemical,Loam,16-16-16,Grade 2,81.51,495.5,Grade 3,A,Grade 3,902.1,High,2010s
India,Water pour,Rain,2nd ratoon cane,Preemergent,Grade 1,K99-72,140 cm,Organic,Silty clay,46-0-0,Grade 1,35.84,395.16,Grade 3,A,Grade 3,1479.94,High,1990s
Bangladesh,Rain,Natural canal,3rd ratoon cane,Herbicide,Grade 2,Khonkean3,130 cm,Organic,Loam,15-15-15,Grade 2,30.88,402.44,Grade 3,A,Grade 2,2871.73,High,1980s
Bangladesh,Water pour,Rain,3rd ratoon cane,Preemergent,Grade 3,LK92-11,130 cm,Chemical,Ferus soil,25-7-7,Grade 3,76.94,186.53,Grade 1,C,Grade 2,781.23,High,1990s
Sri Lanka,Rain,Natural canal,1st ratoon cane,Preemergent,Grade 1,LK92-11,150 cm,Organic,Loam,46-0-0,Grade 1,94.13,117.24,Grade 3,B,Grade 3,2615.74,High,2010s
Nepal,Rain,Rain,1st ratoon cane,Herbicide,Grade 1,K84-200,130 cm,Chemical,Ferus soil,15-15-15,Grade 1,21.91,461.29,Grade 1,C,Grade 2,2819.12,High,1990s
India,Rain,Natural canal,3rd ratoon cane,Preemergent,Grade 1,LK92-11,140 cm,Chemical,Ferus soil,46-0-0,Grade 3,90.93,318.89,Grade 3,A,Grade 1,516.56,Low,2000s
Bangladesh,Water pour,Rain,1st ratoon cane,Preemergent,Grade 1,K84-200,120 cm,Chemical,Silty clay,16-16-16,Grade 1,28.11,93.04,Grade 1,B,Grade 3,1507.95,High,1980s
Sri Lanka,Rain,Rain,3rd ratoon cane,Preemergent,Grade 2,K99-72,140 cm,Organic,Ferus soil,16-16-16,Grade 2,34.93,308.71,Grade 2,B,Grade 2,2634.04,Low,1980s
Nepal,Water pour,Groundwater,1st ratoon cane,Herbicide,Grade 1,Khonkean3,120 cm,Chemical,Ferus soil,15-15-15,Grade 3,58.94,324.09,Grade 3,C,Grade 1,589.5,Low,1990s
Sri Lanka,Water pour,Groundwater,3rd ratoon cane,Preemergent,Grade 2,LK92-11,120 cm,Chemical,Ferus soil,46-0-0,Grade 1,38.33,226.72,Grade 3,A,Grade 1,515.54,High,2000s
Nepal,Water pour,Natural canal,3rd ratoon cane,Preemergent,Grade 1,K84-200,140 cm,Organic,Silty clay,15-15-15,Grade 1,57.64,107.07,Grade 2,B,Grade 3,1016.3,Low,2000s
Nepal,Rain,Groundwater,2nd ratoon cane,Preemergent,Grade 2,K84-200,120 cm,Organic,Loam,46-0-0,Grade 3,65.19,408.25,Grade 3,B,Grade 2,1266.99,Low,1980s
India,Rain,Natural canal,1st ratoon cane,Preemergent,Grade 3,LK92-11,150 cm,Chemical,Silty clay,25-7-7,Grade 2,15.4,324.02,Grade 2,C,Grade 2,846.72,Low,1980s
Nepal,Water pour,Rain,3rd ratoon cane,Herbicide,Grade 2,LK92-11,130 cm,Organic,Silty clay,46-0-0,Grade 1,74.64,381.36,Grade 3,C,Grade 1,919.41,Low,1970s
Bangladesh,Rain,Natural canal,3rd ratoon cane,Herbicide,Grade 2,LK92-11,140 cm,Organic,Loam,25-7-7,Grade 3,32.99,263.97,Grade 3,B,Grade 1,828.57,High,1980s
Sri Lanka,Rain,Rain,2nd ratoon cane,Herbicide,Grade 3,Khonkean3,140 cm,Organic,Loam,25-7-7,Grade 1,81.84,205.05,Grade 2,C,Grade 2,2235.33,High,2000s
Bangladesh,Water pour,Natural canal,1st ratoon cane,Preemergent,Grade 2,K99-72,120 cm,Organic,Silty clay,25-7-7,Grade 2,97.71,214.04,Grade 1,B,Grade 3,2766.06,Low,1980s
Nepal,Water pour,Rain,2nd ratoon cane,Herbicide,Grade 1,Khonkean3,120 cm,Organic,Silty clay,15-15-15,Grade 2,13.8,11.91,Grade 3,A,Grade 3,2982.04,High,2020s
Nepal,Rain,Rain,3rd ratoon cane,Preemergent,Grade 3,K84-200,120 cm,Organic,Loam,25-7-7,Grade 2,24.75,170.62,Grade 2,C,Grade 3,1928.48,High,1980s
Nepal,Rain,Rain,1st ratoon cane,Preemergent,Grade 2,LK92-11,120 cm,Chemical,Silty clay,16-16-16,Grade 3,51.4,440.02,Grade 2,B,Grade 1,1126.26,Low,2010s
Bangladesh,Rain,Rain,1st ratoon cane,Herbicide,Grade 2,Khonkean3,120 cm,Chemical,Ferus soil,15-15-15,Grade 3,36.53,422.43,Grade 2,A,Grade 1,2749.83,Low,1980s
India,Water pour,Rain,1st ratoon cane,Herbicide,Grade 1,Khonkean3,130 cm,Organic,Loam,15-15-15,Grade 1,18.43,471.97,Grade 3,A,Grade 2,1037.77,High,2010s
Sri Lanka,Rain,Natural canal,1st ratoon cane,Herbicide,Grade 3,Khonkean3,140 cm,Chemical,Silty clay,16-16-16,Grade 2,64.55,129.39,Grade 2,A,Grade 2,1390.72,High,1970s
Bangladesh,Rain,Groundwater,3rd ratoon cane,Preemergent,Grade 1,LK92-11,150 cm,Chemical,Loam,25-7-7,Grade 2,55.77,13.85,Grade 3,C,Grade 3,2028.05,High,1970s
Pakistan,Water pour,Rain,2nd ratoon cane,Herbicide,Grade 1,Khonkean3,140 cm,Organic,Silty clay,16-16-16,Grade 1,18.24,423.8,Grade 3,A,Grade 3,1596.18,Low,1990s
Bangladesh,Water pour,Rain,3rd ratoon cane,Preemergent,Grade 1,Khonkean3,120 cm,Chemical,Ferus soil,25-7-7,Grade 1,96.25,496.31,Grade 3,A,Grade 2,1488.2,Low,2010s
Sri Lanka,Rain,Rain,3rd ratoon cane,Herbicide,Grade 1,Khonkean3,130 cm,Organic,Silty clay,46-0-0,Grade 3,36.89,169.45,Grade 2,A,Grade 1,1078.41,Low,1970s
Pakistan,Water pour,Rain,1st ratoon cane,Preemergent,Grade 2,K84-200,140 cm,Chemical,Ferus soil,15-15-15,Grade 2,48.23,408.27,Grade 3,A,Grade 3,676.03,High,1970s
Sri Lanka,Water pour,Natural canal,1st ratoon cane,Herbicide,Grade 1,K84-200,120 cm,Organic,Loam,46-0-0,Grade 1,27.28,196.95,Grade 2,B,Grade 3,803.37,Low,1970s
Sri Lanka,Rain,Groundwater,2nd ratoon cane,Preemergent,Grade 2,K99-72,130 cm,Chemical,Ferus soil,16-16-16,Grade 2,7.98,459.96,Grade 1,A,Grade 2,2142.36,High,2000s
Bangladesh,Rain,Groundwater,2nd ratoon cane,Herbicide,Grade 1,Khonkean3,140 cm,Organic,Ferus soil,16-16-16,Grade 2,59.21,363.5,Grade 3,B,Grade 3,1121.87,High,1990s
Bangladesh,Rain,Rain,1st ratoon cane,Preemergent,Grade 2,LK92-11,130 cm,Organic,Loam,15-15-15,Grade 1,69.78,298.14,Grade 2,B,Grade 2,1930.27,Low,2000s
Sri Lanka,Water pour,Rain,3rd ratoon cane,Herbicide,Grade 1,K84-200,120 cm,Chemical,Loam,15-15-15,Grade 1,96.04,35.62,Grade 2,C,Grade 3,2157.86,High,1990s
Pakistan,Water pour,Rain,1st ratoon cane,Herbicide,Grade 3,LK92-11,130 cm,Chemical,Ferus soil,46-0-0,Grade 2,64.13,91.38,Grade 3,B,Grade 1,2822.0,High,1990s
Sri Lanka,Rain,Groundwater,1st ratoon cane,Herbicide,Grade 3,Khonkean3,130 cm,Chemical,Ferus soil,15-15-15,Grade 2,30.86,494.55,Grade 1,B,Grade 1,2247.73,Low,1990s
Sri Lanka,Water pour,Rain,3rd ratoon cane,Herbicide,Grade 1,Khonkean3,150 cm,Organic,Ferus soil,15-15-15,Grade 2,39.42,113.19,Grade 2,A,Grade 3,506.57,Low,1970s
Nepal,Water pour,Groundwater,3rd ratoon cane,Preemergent,Grade 1,LK92-11,120 cm,Chemical,Ferus soil,16-16-16,Grade 3,23.34,286.58,Grade 2,A,Grade 2,1185.21,High,1980s
Bangladesh,Rain,Groundwater,2nd ratoon cane,Preemergent,Grade 1,LK92-11,120 cm,Organic,Loam,15-15-15,Grade 1,20.36,66.47,Grade 2,B,Grade 2,615.75,Low,2000s
Nepal,Water pour,Natural canal,1st ratoon cane,Herbicide,Grade 3,Khonkean3,150 cm,Organic,Ferus soil,15-15-15,Grade 3,68.9,463.57,Grade 1,A,Grade 1,2099.79,Low,1980s
India,Water pour,Groundwater,3rd ratoon cane,Herbicide,Grade 3,K84-200,120 cm,Chemical,Silty clay,25-7-7,Grade 1,69.92,397.61,Grade 3,A,Grade 2,1613.76,High,1990s
Nepal,Rain,Rain,1st ratoon cane,Preemergent,Grade 3,K99-72,140 cm,Chemical,Ferus soil,46-0-0,Grade 3,36.35,156.71,Grade 1,A,Grade 2,2700.35,Low,2000s
Nepal,Water pour,Natural canal,1st ratoon cane,Herbicide,Grade 1,K99-72,140 cm,Organic,Ferus soil,46-0-0,Grade 1,35.96,401.82,Grade 1,B,Grade 1,2544.24,High,1980s
Pakistan,Rain,Natural canal,1st ratoon cane,Preemergent,Grade 1,K84-200,140 cm,Organic,Loam,16-16-16,Grade 2,67.92,406.55,Grade 1,B,Grade 1,1428.25,Low,2010s
